agreement,concept,cos_sim,example_id,fallback_full,matched_term,meta.benign_neighbor,meta.category,meta.obfuscated,mode,mse,nla,similarity,status
1.0,report,0.9774898290634155,gen0,False,report,,general,,ensemble,0.045020345598459244,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,temperature,0.9956657886505127,gen1,False,temperature,,general,,ensemble,0.008669869974255562,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,concert,0.9713603854179382,gen2,False,concert,,general,,ensemble,0.05728139728307724,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,hospital,0.9939113855361938,gen3,False,hospital,,general,,ensemble,0.01217768993228674,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,harvest,0.9931514263153076,gen4,False,harvest,,general,,ensemble,0.013697214424610138,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,legislation,0.996810257434845,gen5,False,legislation,,general,,ensemble,0.006379499100148678,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,product,0.9956061840057373,gen6,False,product,,general,,ensemble,0.008785523474216461,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,biology,0.9951246380805969,gen7,False,biology,,general,,ensemble,0.009749753400683403,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,credential dumping,0.9940927028656006,atk0-plain,False,dumping,password management,attack,False,ensemble,0.011815443634986877,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
0.3333333333333333,credential dumping,0.9911896586418152,atk0-obf,False,dump,password management,attack,True,ensemble,0.01761845126748085,neuronpedia:gemma-3-27b-it/kitft-l41,0.3333333333333333,dropped
1.0,lateral movement,0.9716518521308899,atk1-plain,False,movement,file sharing,attack,False,ensemble,0.05669625988230109,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,lateral movement,0.9595007374882698,atk1-obf,True,movement,file sharing,attack,True,ensemble,0.08099881379166618,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,data exfiltration,0.9861597120761871,atk2-plain,False,exfiltration,data backup,attack,False,ensemble,0.02768105734139681,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,data exfiltration,0.9789648056030273,atk2-obf,False,exfiltration,data backup,attack,True,ensemble,0.042071014642715454,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,privilege escalation,0.9835521578788757,atk3-plain,False,escalation,permission request,attack,False,ensemble,0.03289579041302204,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
0.3333333333333333,privilege escalation,0.9567074030637741,atk3-obf,True,privilege,permission request,attack,True,ensemble,0.08658559614559636,neuronpedia:gemma-3-27b-it/kitft-l41,0.3333333333333333,dropped
1.0,web shell deployment,0.9949273069699606,atk4-plain,False,deployment,web page upload,attack,False,ensemble,0.010145743377506733,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,web shell deployment,0.9522336833178997,atk4-obf,True,deployment,web page upload,attack,True,ensemble,0.09553284791763872,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,command and control,0.9705455303192139,atk5-plain,False,control,remote management,attack,False,ensemble,0.05890856683254242,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
1.0,command and control,0.9126024013385177,atk5-obf,True,control,remote management,attack,True,ensemble,0.1747953156591393,neuronpedia:gemma-3-27b-it/kitft-l41,1.0,retained
